id,image_url,pin_url_guess,genre,tops_category,tops_color,bottoms_category,bottoms_color,coordinate_review,tops_categorize,bottoms_categorize
1,https://i.pinimg.com/736x/c9/61/92/c96192fc7e225468fbd88137717364ea.jpg,https://jp.pinterest.com/pin/1196337404612941/,office_casual,shirt,brown,low_rise_pants,black,左はストライプのブラウスがクラシックで落ち着いた印象を与え、右は無地のブラウスがシンプルで洗練された雰囲気を演出しています。どちらもブラックのパンツが全体を引き締めています。,ブラウス ストライプ ブラウン、ブラウス  グレー,パンツ  ブラック
2,https://i.pinimg.com/736x/c5/2e/5a/c52e5a74982b2be2d2184511c9f36601.jpg,https://jp.pinterest.com/pin/6755468185806701/,casual,button_up_shirt,gray,unknown,unknown,重ね着スタイルでカジュアルさを演出し、シャツのチェック柄がアクセントになっています。カラーの組み合わせが落ち着いた印象を与えます。,チェックシャツ チェック 各種カラー,長袖Tシャツ ホワイト
3,https://i.pinimg.com/736x/5d/43/86/5d43866b6e0da1445f1c69074f9bd2ba.jpg,https://jp.pinterest.com/pin/fit-inspos-in-2025--1618549864102546/,casual,shirt,black,pants,black,ストリートスタイルを感じさせるリラックスしたコーディネートで、カジュアルな雰囲気が魅力的です。,シャツ チェック ブラック,ハーフパンツ  ダークグレー
4,https://i.pinimg.com/736x/82/71/cf/8271cfeb310341abffdf325e64c4b6f0.jpg,https://jp.pinterest.com/pin/5277724559422140/,casual,shirt,white,harem_pants,black,モノトーンを基調とした落ち着いた印象のコーディネート。シックな中にも、柄を使った遊び心が感じられるスタイル。,シャツ チェック ホワイト,パンツ ストライプ ブラック
5,https://i.pinimg.com/736x/08/9b/b0/089bb01f45308cc6275955be4425798c.jpg,https://jp.pinterest.com/pin/85568461666797872/,korean,t_shirt,gray,jeans,gray,シンプルなトップスとダメージジーンズの組み合わせがカジュアルで、リラックスした印象を与えるコーディネートです。,Tシャツ 無地 グレー,デニム 無地 ダメージ加工 ブルー
6,https://i.pinimg.com/736x/62/99/1a/62991a9b254b0f40e4dcce13aa627919.jpg,https://jp.pinterest.com/pin/10696117860082548/,casual,shirt,black,trousers,black,レイヤードスタイルで、チェックシャツと黒のトップスがリラックス感を演出しています。ワイドパンツでカジュアルさを強調しており、ゴールドのアクセサリーがアクセントになっています。,"シャツ チェック ベージュ, 半袖Tシャツ  ブラック",ワイドパンツ  ブラック
7,https://i.pinimg.com/736x/c5/e6/6a/c5e66ab05453d7e22952536969341afa.jpg,https://jp.pinterest.com/pin/73816881389932121/,casual,shrug,red,harem_pants,black,リラックスした雰囲気のオーバーサイズシャツとワイドパンツの組み合わせが、カジュアルでスタイリッシュな印象を与えます。,シャツ チェック レッド,パンツ  ブラック
8,https://i.pinimg.com/736x/25/3c/d0/253cd02f3568f44c2ce70795006258c7.jpg,https://jp.pinterest.com/pin/20899585766238052/,casual,t_shirt,gray,harem_pants,black,シンプルかつモノトーンでまとめられたコーディネート。ストライプ柄がトップに動きを加え、ワイドパンツでリラックス感を演出。,Tシャツ ストライプ ブラック,パンツ  ブラック
9,https://i.pinimg.com/736x/f2/be/a9/f2bea986692826bb15e4e23109f95066.jpg,https://jp.pinterest.com/pin/24347654230948525/,casual,button_up_shirt,blue,overalls,black,カジュアルでストリートな印象のレイヤードスタイル。チェック柄がアクセントになっている。,シャツ チェック ブルー,デニムパンツ  グレー
10,https://i.pinimg.com/736x/75/fc/2b/75fc2bfd447074a1b764575e1fa6d20a.jpg,https://jp.pinterest.com/pin/22729173115716482/,casual,shrug,red,jeans,cyan,カジュアルでレイヤードスタイルの印象が強いコーディネートです。ブラウンとデニムの組み合わせが落ち着きと若々しさを演出しています。,シャツ チェック ブラウン,ジーンズ  ブルー
