id,url,base_personality,life_tendency,female_feature,male_feature,love_tendency
1,https://unkoi.com/article/animal_wolf1/,"クールでさっぱりとした性格の持ち主で、マイペースなタイプ。細かいことは気にしません。
誰とでもオープンに付き合いますが、ベタベタとした馴れ合いは苦手です。集団行動やグループで群れるぐらいなら1人でいたいと望みます。
人に媚びたり、相手によって態度を変えたりすることはなく、常に裏表なく真っ直ぐに接します。人付き合いも上手ですが、1人でいるのが好きで、自由な時間を好みます。
また、自分なりの信念をしっかりと持っている人です。自信に溢れていて、周りに何を言われようとこうと決めたら強い意志を持って物事に取り組みます。
安易に人に頼ることはなく、何をするにも自分で考え自分で行動していきます。","自分1人の時間も人付き合いも両立させられる人です。人に流されて思うようにできないといったことはありません。
人に合わせるのは苦手ですが、うまく人付き合いをして人脈を築くことができます。そのため、必要な時に手を差し伸べてくれる人もいて、困難を乗り越えたり、引き立ててもらえたりできるはず。
基本的に人には頼らず、自分の信じる道をひたすら突き進んでいく人生を歩みます。
人と同じことをするのは苦手で、独自の人生を切り開いていきます。ユニークな発想にも恵まれているため、人とは違った方法で人生を好転させていくはずです。","誰とでもさっぱり付き合うオープンなタイプ。裏表がなく、誰にでも素直に接します。
誰ともベタベタ付き合うことはない代わり、人に対する好き嫌いもありません。社交的で人とはうまく付き合っていけますが、密な繋がりは好まず、特定の人と群れるようなことはありません。
また、強い個性があり、人とは違った生活や人生を求めています。変わった職業や変わった生き方をして、人と比べることなく自分の人生を満喫しています。
周りの目を気にしたりせず、自分にしかできない生き方を追求しているのです。","正義感の強さが特徴です。相手が間違っていると思ったら、どんな親友であろうと上司であろうと、ハッキリと言います。
納得がいかないことをそのままにしておくことは決してできません。問題が解決するまで、解決策を模索したり、行動を続けたりするのです。
自分や家族、友達のことはもちろん、SNSなどで見かけた何の繋がりもない他人であっても、理不尽なことに悩んでいれば、口出しせずにはいられないところがあります。
世話焼きというよりは、曲がったことが大嫌いで、許せないと感じると行動を起こしたくなるのです。","とても一途で、ぶれることのない愛を捧げる傾向が見られます。
自分なりの理想の恋があり、それにバッチリ当てはまる相手に恋をします。そして一度愛すると気持ちが変わることはそうそうありません。
基本的には、恋愛に人生を振り回されたくないという気持ちがあります。そのため、どんなに好きな相手でも夢中になりすぎて周りが見えなくなるようなことはありません。
モテるタイプですが、恋に選ぶ相手は個性が強かったり、変わり者だったりと、他にないものを持つ人で、唯一無二の個性に惹かれるところがあります。
また、お互いのやりたいことを尊重し合える相手とのお付き合いを望みます。そして、お付き合いしても、恋と人生を両立させようとします。"
2,https://unkoi.com/article/animal_wolf2/,"芯があり強い独自性を備えた性格の持ち主です。自分なりの価値観や考え方をしっかりと持っていて、それに従って生きているのです。
他の人と同じことをするのは苦手で、自分にしかできない考え方や生き方を追求していきます。
お人好しで世話好きな一面があり、人に対してはとても親切です。周りからはクールな印象を持たれがちですが、内面には優しく愛情深い一面を持っています。
人見知りで初対面の人にはちょっと素気なくなってしまうことも。最初はとっつきにくそうと思われますが、仲良くなればガラリと違う印象を持たれます。
案外ユーモアのセンスがあり、周りを楽しませるのが上手です。深く知るほどに、人の心を虜にしていきます。","たくさんの体験をしてみたいと望んでいます。
あれもこれもと、様々な分野や体験に触れ、自分を成長させていきます。どんな場や分野でも卒なくこなせる柔軟性や器用さがあります。
一方で、少々飽きっぽいところがあり、なかなか1つを続けることができません。多くの体験を経て、時間をかけて自分の身の置き所を見つけていきます。
大器晩成型で、最後には自分らしく生きられる道を見出し、成功できるはずです。人に流されたり、影響を受けすぎたりするようなことはなく、自分の道は自分で開拓していきます。","カリスマ性を備えていて、人とは違った雰囲気やオーラを持っています。自然と周りの注目を集めます。
凛としていて、周りと比べることなく自分だけの生き方を追求しようとします。自分なりの信念をしっかりと持ち、迷うことなく自分を信じてやり遂げます。
人に合わせるのが苦手で、何をするにも1人でやりたがります。自分で考え、自分で行動したいと望むのです。
人に媚びない姿勢が、周りの目には少々とっつきにくく見えることもあります。ですが、内面はとてもユニークで明るい女性なのです。","独特の世界観や価値観を持っています。自分だけの世界をしっかりと持っていて、周りに影響されることはありません。
自分の信じる道をひたすら貫き、突き進んでいきます。
一方、飽きっぽいところがあり、粘り強さには少々欠ける一面も。気持ちのままに動き、なかなか1つの場に定着しません。
それでも、あれこれと足掻くうちに、やがては自分が輝く場所を見つけ、最後には成功を掴める人です。
クールに見えて、案外お人好しなところが魅力的です。困っている人は放っておけず、損をしてでも手を差し伸べます。","心から楽しめるかどうかを重視する傾向があります。
将来のことや価値観などは二の次で、今を一緒に楽しめる人であることが大事なのです。見た目や条件面は関係なく、直感やフィーリングで相手を選びます。一緒にいて何となく楽しい、居心地良いと感じたら、そのまま恋に落ちることも。
普段はクールでも、好きな相手にはきちんと愛情を示していきます。そんなところに誠実さを感じて、受け入れてもらえることが多いため、モテやすいといえます。
恋をすると、お互いの自由を尊重し、束縛はしません。恋もやりたいことも、両方を大切にしていきたいという思いがあります。そして、相手にも同じように尊重してくれることを求めます。"
3,https://unkoi.com/article/animal_wolf3/,"愛嬌があって周りから愛されやすい性格です。誰とでも打ち解けることができます。さっぱりとして細かいことにこだわりません。
ユーモアのセンスもあり、周りを楽しませることができます。自然と場の中心的存在になりやすく、注目されます。
少々お人好しで、人から頼まれると断れません。相手のために精一杯尽くし、最後まで手を差し伸べます。常に周りを気づかい、思いやる心も持っています。
また、知的好奇心が旺盛で、知識や経験をどんどんと積み重ねていけます。1つの道をひたすら追求していく探究心に溢れた一面も。
そして、地道に努力を重ねていき、特定の分野において大きな結果を上げられるのです。","人に流されず自分のペースで生きる傾向があります。
人と比べることなく、自分なりの価値観を追求します。何をするにも自分で考え、自分で決めます。そのため、失敗しても後悔がありません。常に自信たっぷりに人生を切り開いていき、何があろうと受け入れます。
マイペースながらも、周りの人たちをしっかりと尊重できるため、周りからも大切にされます。必要な時には周りから援助の手が差し伸べられ、本当の困難に陥ることはありません。いざという場面では、助けたり助けられたりしながら乗り切っていけます。","個性豊かなのが特徴です。
常に自分自身と向き合い、人と比べず自分のやりたいことを追求します。ハマるととことん夢中になり、周りが見えなくなるほど、のめり込みます。
あまり周りとベタベタとした付き合いは好みません。必要以上の付き合いをするぐらいなら、1人で過ごしたいと望みます。
また、高い知性を備えていて、優れた観察眼と洞察力を持って物事を判断します。
誰かの意見に流されず、常に自分で考えて行動できる、芯の強さを備えています。とても努力家で、こうと決めたら迷いなく突き進みます。","ユーモア溢れる一面を持っています。
どんな状況でも楽しむことができるため、落ち込んだりストレスを抱えたりといったことがあまりありません。
マイペースですが、ちゃんと周りのことも見て動ける人です。気づかい上手で少々お人好しなところもあります。とても親しみやすく、周りからは付き合いやすい人だと慕われます。
多くの人から愛されていて、華やかな人間関係を築きます。だけど当の本人は、自分の時間を大事にしたがります。人付き合いはほどほどで、必要以上の関係は築こうとはしないはずです。","好きな人ができると、一途に愛し抜くタイプです。
愛情表現が豊かで、好きな気持ちを隠しておけません。駆け引きなど一切なく、真っ直ぐに想いを伝えてイエスかノーかハッキリさせたがります。
恋人とはいつも楽しい刺激のあるデートをしたいと望んでいます。一緒に素敵な体験をして、想いを通わせていきたいのです。
恋をしても、自分の時間も大事にしたがるため、ベタベタとした付き合いは苦手。それぞれの人生を尊重しながら、恋も大切にしていきたいのです。
お互いに無理なく、それぞれのペースで恋を楽しんでいける付き合いを求めています。相手のことは心から大事にするものの、恋愛だけに人生を振り回されたくはないのです。"
4,https://unkoi.com/article/animal_wolf4/,"優しく愛情深い性格の持ち主です。一見するとどこか近寄りがたい雰囲気がありますが、話せば優しく穏やかです。
真面目な性格で、自分のやるべきことや任されたことは責任を持ってやり遂げます。ゴールが定まるとそれに向けて真っ直ぐに努力を重ねていきます。
ちょっと不器用なぐらい、自分の意志や信念にこだわって物事に取り組みます。
お堅い印象もありますが、人当たりは柔らかで周りから慕われています。信頼感があり、人から頼られる場面も多いといえます。
とてもマイペースで、自分なりに納得しながら物事を進めていきます。職人気質なところがあり、こだわるところは頑固なまでにこだわる傾向があります。","一本筋が通ったものとなっています。自分はこうありたい、こうしたいという思いに従い、真っ直ぐに理想を追求します。
多くを求めることはなく、周りからどう見られるかも気にしません。ただ大事にしたいのは、自分が納得できるかどうかなのです。
周りにはなかなか理解しにくいような生き方をするかもしれません。だけど、本人は自分の思い通りに生きられたら、それが心からの喜びなのです。
独自の道を選ぶ傾向があるため、人とは少々違った人生になりがちです。そのぶん、個性豊かな生き方を楽しめます。","とても正直者で純粋な人です。
人と比べることなく、常に自分だけの道を突き進みます。周りに何と言われようと、やりたいものはやりたい、やりたくないものはやりたくないのです。
一方、やると決めたことは何が何でもやり抜く強さを備えています。失敗や困難に見舞われようと、粘り強く取り組んで乗り越えられるのです。
前向きで、些細なことにこだわらず、明るく生きられる人。さっぱりとしていてストレスを抱え込むことがありません。
人間関係もあっさりとしていて、誰もと常に一定の距離を保って付き合っていきます。","自信に溢れプライドが高い傾向があります。
自分に自信を持っていて、何をするにも迷いがありません。素直で正直な性格で、受けた恩も恨みも忘れないところがあります。
人のために何かするのが好きで、奉仕精神豊かに人に尽くします。世話焼きな一面があり、頼られると断れません。
お人好しゆえに人から都合良く扱われてしまうことも。断る勇気を持つことで、いっそう自分らしく生きられるようになります。
明るく純粋なところが周りから愛されていて、多くの人に慕われます。一方、本人は1人の時間も大切にしたいと望んでいます。","自分のペースを保ちたいというスタンス。束縛や干渉されるぐらいなら、1人でいるほうが良いというほど、恋愛にのめり込みにくいタイプです。
異性にはとてもモテやすく、独特の雰囲気が心を惹きつけます。本人さえ望めば、恋愛相手に困ることはありません。
恋愛願望はあるものの、自分のペースを決して乱さない相手でなければ恋をしようとはしません。穏やかな狼にとって恋愛は、相手選びがとても重要なのです。
四六時中でも一緒にいたいというタイプとでは、うまくいきません。お互いを尊重し合い、それぞれの好きなことを応援しつつ、恋を深めていける人が合っています。
2人きりの時は案外甘えたがりなため、包容力のあるタイプとうまくいきます。"
5,https://unkoi.com/article/animal_wolf5/,"いつも自信に溢れ堂々としている性格の持ち主です。
人に媚びたり八方美人になったりすることなく、常に自分の考えで生きています。自分が正しいと思う道をひたすら追求する姿勢が、周りからは信頼されています。
ただ、少々頑固で融通が利かないところもあります。こうと決めたら誰に何を言われようと変えることはありません。
パッと臨機応変に対応するのは苦手で、じっくりと考えて納得してから動き出します。動くまでは時間がかかるものの、一度動くと決めた時に迷いはありません。
人と群れるのは好まず、自分1人の時間や空間を作ろうとします。自分のペースで生きたいと望んでいて、周りに合わせるのは苦手なところがあります。","自分にしかない魅力的な個性を追求する生き方をします。
人と比べることなく、自分が何をしたいか、どう生きたいかを明確に理解しています。自分がそうしてしっかりと理想を持っているため、周りのことも尊重します。尊敬できる人の生き方を見て、学びや気づきを見出していきます。
あまり自分が得をしようという考えはなく、それよりも常に正しくあろうとします。正義感の強さゆえに時に人とぶつかることもありますが、自分の信念や考えを妥協するぐらいなら、衝突してでも本心で生きたいと望むタイプです。","明るくお人好しです。その場にいるだけで華があり、周りからの注目を集めます。
明るい雰囲気で場を和ませるタイプですが、言いたいことはきちんと言える人です。周りに合わせて何も言えないといったことはありません。自分の思うことをしっかりと主張し、納得がいくまで妥協することはありません。
また、とても自立していて、何をするにも自分でやり遂げようとします。人に頼るのは苦手で、依存することも決してありません。
自分で考え、自分で行動し、自分の思い通りに人生を歩んでいくのです。","裏表がない正直者です。真面目でお人好しなところがあり、困っている人は決して放っておけません。
誰に対しても素直で嘘をつけないため、周りからの信頼は厚いです。
また、高い知性を備えていて、頭の回転も速いです。目標を掲げると、それに対して最短距離で達成する方法を見出します。
そして、いざ物事を進める時は粘り強く努力家な一面を発揮します。向上心があり、弛まぬ努力によってチャンスを物にできるのです。
何をするにもしっかりと学びを得て、それを糧にして成功を目指していける人です。","とても一途で真っ直ぐな愛情を好きな相手に注ぎます。浮気とは無縁です。
周りが見えなくなるほど夢中になり、のめり込んでしまうことも。他の人は一切目に入らなくなり、愛する人だけに一途に尽くそうとします。
一方で、相手にも同じように自分だけを見てほしいと望むため、重い恋愛になりがち。つい相手を束縛や干渉してしまい、嫌がられてしまうこともあります。
また、家庭や家族に対する理想や価値観をしっかりと持っていて、それが合うかどうかが相手選びの重要な条件となります。家族を大事にする人とお付き合いしたいのです。
そして、恋愛相手とはそのまま生涯の関係になることを望んでいます。"
6,https://unkoi.com/article/animal_wolf6/,"穏やかで飾らない性格の持ち主で、落ち着きがあり、自分のペースで生きています。
また、魅力的な個性を備えていて、どこか人と違った雰囲気を感じさせます。そんな一面が周りにミステリアスな印象を与え、注目されています。
人と比べることなく、自分のやりたいことをよく理解していてひたすら追求します。1人でコツコツと物事に取り組むのを好み、人に合わせるのは苦手です。
少々繊細なところもあり、周りのことをよく見ていますが、だからといって自分のスタイルや信念を変えることはありません。
何をするにも目標を定め、計画通りに進めていこうとします。頑固ながらも着実なやり方に、周りからの信頼は厚いといえます。","決して人と群れるタイプではありませんが、自然と人を惹きつける魅力によって周りから慕われ、多くの人と関わる人生を送ります。
ある程度、好感のもたれる狼について知っている人からは、深く愛され、大事にされます。
いざという時も、周りが当たり前のように手を差し伸べてくれ、良い方向へと導いてくれます。そのため、周りのおかげで自然と問題解決できたり、大きなことを成し遂げられたりすることができます。
周りの力を借りながら、素晴らしい成果や成功へと繋げていけるのです。","知的な雰囲気とユーモアのセンスのギャップが魅力的といえます。
クールな印象を与えますが、話していると愛らしくユニークな人だとわかります。周りはそこに魅力を覚え、惹きつけられてやみません。加えて優しく情に厚いため、人の心を鷲掴みにします。
自分なりの夢や目標をしっかりと持っていて、それを追い求める人生を歩みます。あまり人には理解されにくいような目標を持っていることもありますが、周りの目を気にせず、自分らしく生きていきます。
高い知性と器用さがあり、人とは違う道であっても成功の道筋を見出すことができます。","穏やかでおっとりとした優しい人です。
一見するとポーカーフェイスでどこか近づきにくい雰囲気もあります。ですが、深く関わると、とても愛情深い人だと周りに伝わります。
繊細さがあり、相手の気持ちや考えを汲み取るのが上手です。求められているものを察して、先回りして与えることもできます。
情に厚く、少々お人好しな一面もあります。頼み事や相談は決して断ることができず、自分が損をしようと手を差し伸べようとします。
人に喜んでもらえるなら、自分が少々犠牲になっても構わないという姿勢です。","恋愛については、あまり積極的なタイプではありません。自分から動くのは恥ずかしいという気持ちがあり、受け身になってしまいがち。
また、ノリや雰囲気で人を好きになることはありません。相手の条件面や自分との相性などをしっかりと見極めたうえで恋をするところがあります。
付き合う相手とは、結婚まで考えたいという少々古風なところもあります。そのため、恋愛観や結婚観が合うかどうかが、相手を選ぶ大事な基準になっています。
そして、いざ恋が始まれば、とても誠実で正直に向き合います。決して相手を裏切ることはありません。
ただ、ベタベタとした付き合いは苦手なので、付き合ってもそれぞれの人生を尊重し合おうとするはずです。"
1,https://unkoi.com/article/animal_fawn1/,"愛嬌があって甘え上手な性格です。素直で裏表がなく、誰とでも平等に偏見なく接します。
正義感が強く、間違ったことは許せない一面もあります。自分が正しいと思うことは何が何でも貫くのです。
嘘やごまかしは自分もしませんし、人にされるのも大嫌い。常に正直に真正面から人と向き合っていたいところがあります。
また、無邪気で好奇心旺盛なところがあります。やりたいことや興味を持てるものが見つかると、やってみずにはいられません。
どんな場にも飛び込みたがりますが、場に馴染むのに時間がかかります。最初のうちは人にも環境にも慣れませんが、慣れてくると自分らしい魅力を発揮できるようになります。","夢追い人です。いつも自分のやりたいことや夢を追い求める生き方をします。
目標や夢がない時は、ぼんやりと過ごすはず。一方で、一度追いかけたいものが見つかると、イキイキと輝き出し、思うままに動き出します。
人から愛されるのが上手ですから、人生において困難があっても周りから助けの手が差し伸べられます。
何かあるたび周りの人からの援助を得られるため、本当の意味で困ることはありません。日頃から人との絆をしっかりと深める努力をしておくことで、人生はより豊かなものになっていきます。","見た目と内面とにギャップがあります。意志が強そうな雰囲気がありますが、内面はとてもおっとりと穏やかです。
当たり前のように周りを気づかい、奉仕することができます。一方で、人に対する好き嫌いが激しく、一度嘘やごまかしがあると決して許しません。
情熱的で感情のままに生きているところがあります。なかなか心を許しませんが、一度心を許した相手にはあるがままで接します。
相手によって態度や接し方が大きく変わります。この人こそと思える相手には、とことん尽くし大事にするのです。","情熱を秘めているのが特徴です。胸の内には熱い情熱があり、夢を追い求めてとことん努力できます。
少々天然な部分もあり、空気を読めないこともありますが、純粋で素直なため周りから嫌われることはありません。天然系キャラとして愛されているはずです。
悪意は一切なく、思ったことをぽんぽんと言ってしまうことも。嘘をつかないところが信用され、周りとは深い信頼関係を築いていけます。
また、とてもさっぱりとした一面を持っています。人と衝突しても引きずることはなく、すぐに許して終わりにできる人です。","恋愛においては甘えたがりです。恋人に心を許すと、可愛らしくワガママを言って甘えます。
付き合う時は、長く時間をかけて、まずは友達関係を深めてからになります。友達として心から信頼できると感じられてから、次のステップに進みたいところがあります。
そのため、付き合うまでには少々時間がかかる傾向があります。ですが、一度交際に至ると、将来まで考えた真剣交際をしようとするのです。
遊びの恋とは無縁で、とても誠実にご縁を深めていきます。モテやすく出会いには困りませんが、心から安心できる相手とだけ付き合います。
恋愛においては信頼を何より重視しながら、大切に愛を深めていくのです。"
2,https://unkoi.com/article/animal_fawn2/,"穏やかで優しい性格の持ち主です。
じっくりと今あるものに取り組む一方、変化を嫌います。
争いや衝突とも無縁で過ごしたいという思いがあります。慎重派で何をするにもしっかりと確かめてからでなければ落ち着きません。
好奇心はあるものの、実際に行動に移すのはしっかりと調べてからです。そして手をつけたなら、最後まで責任を持ってやり遂げ、着実に成果や実績を残していきます。
人に対しても慎重です。警戒心が強くあり、誰とでも気軽に打ち解けられるタイプではありません。
ただ、一度親しくなるととても誠実で、深い信頼関係を築くことができます。周りからの信頼も厚く、いざという場面で頼りにされます。","何かにつけとても慎重なので、人生においてあまり失敗することがありません。
冒険的な行動をしませんし、何かするにもきちんと調べてから取り組みます。勢いで動いて失敗したり困難を招いたりすることはありません。
また、一度目標が定まると、何が何でも達成させようとする強い力を持っています。努力によって人生を成功へと導けるのです。
ただ、控えめな性格で目立つのは苦手なため、大きな行動を起こしたり、新たな変化を取り入れたりすることは少ないです。
周りの目を意識しつつ、堅実に生きるタイプです。","おっとりと穏やかなタイプです。
なかなか心を開かず警戒するところがありますが、一度親しくなると愛らしい一面を見せるようになります。親しい相手とそうでない人とで、接し方が全く違っているはずです。
コツコツと地道に努力するのが得意で、1つのものにじっくりと取り組むのを好みます。あれもこれも同時にこなしていく器用さはないものの、1つの道を究めていくことができます。
保守的で、変化は好みません。周りの注目を集めるのも好まず、控えめに心穏やかに過ごしたい思いがあります。","誠実で穏やかな性格です。礼儀を重んじ、上下関係にうるさいところがあります。
人見知りで、人に心を開くまではとても時間がかかります。人とはある程度の距離を保って付き合い、争いは徹底して避けます。
また、責任感が強く任されたことは必ずやり遂げるため、周りからは信頼されています。何かあっても責任を持って向き合い、決して投げ出すことはありません。
着実に成果や実績を積み重ねていくため、少々自信過剰な一面もあります。確かな実力を身につけることによって成功を掴んでいくタイプです。","決して勢いではなく、慎重に相手を見極めてから交際に至る恋愛傾向が見られます。一目惚れや遊びの恋をすることはありません。
そして付き合うと、とても誠実で相手だけに一途に尽くします。早い段階で結婚や同棲を考える傾向もあります。裏切りや浮気などとは無縁のはずです。
一方で、好きな相手に対しても同じように誠実さを求めます。独占欲が強くなり、ちょっとしたことでも嫉妬してしまいます。
相手の心を自分だけのものにしたいという思いが人一倍強くあり、顔には出さなくても内心では嫉妬心が渦巻いていることも。一見するとクールに見えるため、ふとした時に情熱的な一面を見せて驚かれることもあります。
あまり未練を残すタイプではなく、失恋すればさっぱりと気持ちを切り替えます。"
3,https://unkoi.com/article/animal_fawn3/,"高い社交性と優しい性格の持ち主です。誰とでもすぐに打ち解け、楽しくコミュニケーションを取ることができます。
おっとりと穏やかで人の心を和ませます。少々お人好しで、困っている人は放っておけませんし、頼まれたら断れません。
一方、愛され上手なところがあり、自分が困っている時には周りが放っておかないはずです。人と争うのが苦手で、いつも周りが円滑にいくよう気を配っています。
人の上に立ったりリーダー的立場を任されたりするのは苦手です。周りと一緒にチームワークで物事を進めたい人です。
空想癖があり、頭の中では人とは違う世界を持っています。好奇心が強い一面もあり、興味を持つとやってみずにはいられません。","人に尽くす人生を送る傾向があります。
人を喜ばせることに自分の幸せを見出すため、仕事にしろプライベートにしろ、人に尽くそうとします。時に自分のことが後回しになりますが、人の期待に応えることを人生において重視します。
周りに流されたり、人と争いを避けようとしたりして、思うような生き方ができない時もあります。それでも、持ち前の愛され上手な一面により、いざという時には周りから助けの手が差し伸べられます。
人のために心から尽くせるしっかり者のこじかは、人からも愛され感謝される人生を送ることになります。","空想癖を持ち、神秘的な雰囲気の特徴があります。
人とは普通に接していても、頭の中は空想だらけで時に現実世界と区別がつかなくなることがあります。スピリチュアルな分野や非科学的なものに興味を持つ傾向が強いといえます。
ただ、周りからどう見られているかも気にするため、心許せる人でなければ空想について話すことはありません。
平和主義者でいつも周りとうまくやっていこうと努力できる人です。争いたくないため、自分が折れてでも関係をスムーズにいかせることを優先させます。
誰からも愛されていて、人の輪をどんどんと広げていくことができます。","律儀で義理堅い性格です。
誠実で信頼感があり、いざという時に頼られる存在といえます。目上の人からも気に入られますし、後輩からも慕われるタイプです。
とても柔軟で適応力があり、どんな場にも溶け込んでいけます。気配りも上手で、職場でも仲間内でもとても愛されているはず。
お人好しな一面があり、無理をして人の頼みを受け入れて悩むこともありそうです。また、八方美人になりやすく批判されてしまうことも。
うまく付き合う相手を見極めることで、問題を避けられ、心安らかに生きられるようになります。","ロマンティストな一面があり、好きな人と非日常な空間を分かち合い、ドラマのような恋をしたいという願望を持っています。
お付き合いしても、いつまでも新鮮な雰囲気を保とうとします。デートにもこだわり、日々の愛情表現にも気をつかうところがあります。
恋をすれば恋愛が最優先となり、相手を幸せにすることが自分の喜びと捉えます。
また、恋人とはまめに連絡を取ったり、定期的にデートをしたりしたいタイプ。四六時中でも相手と繋がっていたいと望みます。
甘えてくれる人や少々依存傾向のある人のほうが合っていそうです。逆にベタベタしたいけれど相手がそれを望まない場合、うまくいきにくいといえます。"
4,https://unkoi.com/article/animal_fawn4/,"謙虚で穏やかな性格の持ち主です。
周りからは誰にでも優しく純粋な人だと見られています。頼まれると断れませんし、自分のことより人を優先させるところがあるため、少々お人好しな印象も与えているはず。
人と争うのも苦手で、衝突するぐらいなら自分が折れたほうが良いと考えます。
誰に対しても優しくおっとりとした様子を見せますが、内心では警戒していることもあります。当たり障りなく接していても、心を許していないことがあります。
正義感が強く、礼儀を大事にするため、嘘が多い人や礼儀のない人は苦手です。
案外、芯が強いところもあり、譲らないところは決して譲りません。意外なほどに頑固な一面を見せて周りを驚かせることもあるでしょう。","高い目標を掲げて生きる傾向があります。
理想を目指して生きているものの、なかなか理想に届かないため自分に自信を持てません。だけどそれは、理想が高いためであって、決して努力していないわけではないのです。むしろ、自分なりに精一杯努力を重ね、妥協せず目標を目指していきます。
また、周りと良好な関係を築ける華やかなこじかは、比較的目標を達成しやすい人生を送ることができます。周りから愛され手を差し伸べてもらいやすく、人の援助によって成功することも。
それでも、きちんと自分でも努力できる堅実な生き方をしていく人です。","物腰柔らかで慎重なのが特徴です。
誰に対しても優しくおっとりとした印象を与えていますが、内心では相手を警戒していることも。相手からぐいぐいと近づいてきても、心の中ではしっかりと相手を見極めようとしています。
よほど信頼できるようになってからでなければ、心を開くことはありません。当たり障りなく仲良くはしていても、心を許しているわけではないでしょう。
一方で、人から愛されたいという願望は強くあります。一度仲良くなったなら、相手に尽くして愛されるための努力を怠りません。","顕実な正直者で、嘘やごまかしが嫌いで、常に真っ直ぐに人と向き合いたがります。
一方で、嘘をつく人には決して心を許さず、距離を置こうとします。何をするにも真面目で誠実に取り組むため、周りからの信頼は厚く、頼りにされています。
プライドが高いところがあり、目上への礼儀や義理を重んじます。目上の人に敬意を示すため、可愛がられます。
また、自分なりの信念をしっかりと持っていて、それに従って生きています。穏やかなようでいて、頑固なまでに自分を信じて突き進む傾向があります。","恋をする時も慎重な傾向が見られます。
見た目のセンスが良くおっとりとした性格で、異性の注目を集めやすい華やかなこじか。異性からはモテやすく恋愛相手には困りませんが、心を開いて付き合えるのはほんの一握りといえます。
自分からアプローチするのは苦手で、好きな人ができても受け身になりがち。相手の好みに合わせたりさりげなく気づかいを見せたりして、気を惹こうとします。
相手からアプローチされて付き合うパターンが多いはず。お互いを尊重し合う恋を求めていて、馴れ合いやベタベタとした付き合いは苦手。遊びの恋とも無縁です。
付き合うなら、将来まで真剣に考えられる相手と、大切に愛を育みたいと望んでいます。"
