id,image_url,pin_url_guess,genre,tops_category,tops_color,bottoms_category,bottoms_color,coordinate_review,tops_categorize,bottoms_categorize
1,https://i.pinimg.com/736x/a6/5a/50/a65a50686f1c10f5c98f2bedd434bf1e.jpg,https://jp.pinterest.com/pin/6122149486851049/,korean,t_shirt,blue,trousers,black,シンプルで洗練された印象。白いTシャツとブラックのストライプパンツがクールな中にも上品さを感じさせる。,Tシャツ  ホワイト,パンツ ストライプ ブラック
2,https://i.pinimg.com/736x/82/77/a9/8277a98095eda2e3b1435905296dd056.jpg,https://jp.pinterest.com/pin/341499584264021499/,casual,crop_top,black,trousers,black,カジュアルでリラックスした印象のコーディネートです。英字プリントのトップスが遊び心を加えています。,Tシャツ 英字プリント ブラック,パンツ  ダークグリーン
3,https://i.pinimg.com/736x/52/33/63/523363348ca1f3d4fc5139e8041be082.jpg,https://jp.pinterest.com/pin/85920305384429883/,casual,crop_top,gray,trousers,black,バンドTシャツとブラックのワイドパンツの組み合わせは、リラックスしたスタイリッシュな印象を与える。,Tシャツ プリント グレー,ワイドパンツ  ブラック
4,https://i.pinimg.com/736x/ef/5c/fa/ef5cfadb23b246687241c487a4e8c733.jpg,https://jp.pinterest.com/pin/281543723667835/,casual,t_shirt,white,pants,black,カジュアルなTシャツをベースにしたリラックス感のあるコーディネートは、カラーアクセントのスカーフが個性を演出しています。,Tシャツ  ホワイト,パンツ  ネイビー
5,https://i.pinimg.com/736x/4f/53/7b/4f537beb27e4c4dd76dc38c2270ee4e1.jpg,https://jp.pinterest.com/pin/985231164762332/,casual,shrug,black,unknown,unknown,カジュアルでリラックスした印象を与える黒を基調としたコーディネートです。プリントが個性的で、都会的な雰囲気を演出しています。,Tシャツ プリント ブラック,パンツ 無地 ブラック
6,https://i.pinimg.com/736x/6a/43/da/6a43dad60c5a10d03ca8b343aefa1e80.jpg,https://jp.pinterest.com/pin/563018696933935/,casual,crop_top,black,cargo_pants,black,全体的に黒を基調としたクールでシックなコーディネート。カジュアルさとエレガンスが絶妙にミックスされている。,Tシャツ  ロゴ入り ブラック,カーゴパンツ  ブラック
7,https://i.pinimg.com/736x/f1/4a/99/f14a99899c89588a6cac83481d4f6769.jpg,https://jp.pinterest.com/pin/59954238838366038/,casual,t_shirt,cyan,harem_pants,black,カジュアルでリラックスした印象のコーディネート。白のトップスに黒のボトムスがシンプルで、帽子とメガネでアクセントが加わっています。,Tシャツ  ホワイト,パンツ  ブラック
8,https://i.pinimg.com/736x/f9/22/9d/f9229d8e3eeba44ef51275293d9efc35.jpg,https://jp.pinterest.com/pin/2025-in-2025--13933080092336532/,casual,crop_top,gray,harem_pants,black,シンプルで洗練されたモノトーンコーディネート。Tシャツのカジュアルさとパンツのボリュームがバランス良い印象を与えます。,Tシャツ  ホワイト,ワイドパンツ  ブラック
9,https://i.pinimg.com/736x/07/b7/ec/07b7ec14a6607e90ce0f71733b67d970.jpg,https://jp.pinterest.com/pin/fashion-in-2025--281543723657553/,casual,long_sleeve_shirt,blue,harem_pants,gray,カジュアルでリラックス感のあるスタイル。白を基調にした清潔感がありつつ、ブルーのアクセントが爽やか。,Tシャツ プリント ホワイト,パンツ  ホワイト
10,https://i.pinimg.com/736x/aa/4b/c9/aa4bc966de510844eacb7c6426083d8a.jpg,https://jp.pinterest.com/pin/fashion-in-2025--4081455907056821/,casual,shirt,black,trousers,red,カジュアルでリラックスした雰囲気があり、色使いが落ち着いていて秋らしい印象を与えます。,Tシャツ キャラクター ブラック,パンツ  ブラウン
